Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference
Hot IPO market may doom Alibaba; Opinion: The new-issues and stock markets might be peaking,MarketWatch,5/9/2014,1325,"When Alibaba Group Holding this past week filed for what could become the largest initial public offering ever, it was the latest hopeful note for a new-issues market that has slowed sharply after a roaring start to 2014.",Alibaba,Technology,1,6,1,,,,
"As Alibaba prepares for IPO, tech stocks retreat As Alibaba prepares for IPO, tech stocks retreat; Technology stocks get ditched...",The Post and Courier (South Carolina) Daily Commercial,5/9/2014,451,"NEW YORK É?? It's a tough time for a tech debut. As e-commerce giant Alibaba gets ready for a blockbuster stock sale in the next few months, technology shares are retreating. For two years, investors bid up biotechnology and Internet ...",Alibaba,Technology,1,6,4,,,,
"As Alibaba prepares for IPO, tech stocks retreat",The Repository,5/9/2014,928,"As Alibaba prepares for IPO, tech stocks retreat NEWYORK It's a tough time for a tech debut. For two years, investors bid up biotechnology and internet companies, enticed by their strong growth prospects in an otherwise weak economy. But they ...",Alibaba,Technology,1,6,4,,,,
"As Alibaba prepares for IPO, tech stocks retreat","The Times (Trenton, NJ)",5/9/2014,721,"As Alibaba prepares for IPO, tech stocks retreat NEWYORK It's a tough time for a tech debut. For two years, investors bid up biotechnology and internet companies, enticed by their strong growth prospects in an otherwise weak economy. But they ...",Alibaba,Technology,1,6,4,,,,
Alibaba IPO Pressures Yahoo Chief,The Wall Street Journal,5/9/2014,1220,"The clock is now ticking for Marissa Mayer. Since she joined the Internet company nearly two years ago, the Yahoo Inc. chief executive has had more time than her predecessors to attempt one of the most unlikely turnarounds in the history of ...",Alibaba,Technology,1,6,1,,,,
"Alibaba ahead of Facebook, pre-IPO ; Financial strength of company outshines previous tech giants",USA Today,5/9/2014,625,This may resemble shooting ducks in a pond. That's how easy the sale of Alibaba Group's IPO shares to professional money managers and wealthy brokerage clients may look in the weeks and months ahead -- thanks to the company's strong ...,Alibaba,Technology,1,6,1,,,,
"Yahoo CEO faces 'moment of reckoning'; When Alibaba Group completes its IPO, Marissa Mayer's company will have no choice but to find ways to revive revenue growth",St. Paul Pioneer Press,5/11/2014,1032,Yahoo CEO Marissa Mayer faces a $10 billion decision in a few months. The pivotal moment will come when the Chinese e-commerce leader Alibaba Group completes its initial public offering of stock -- an enormous deal that triggers a provision ...,Alibaba,Technology,1,1,4,,,,
Alibaba IPO underscores Amazon's profit weakness,The Virginian-Pilot,5/11/2014,2206,By Adam Satariano Bloomberg News Alibaba Group Holding is often called the Amazon.com of China. Yet the Asian company's filing for an initial public offering shows that the differences between the two e-commerce giants are vast.,Alibaba,Technology,1,1,4,,,,
Alibaba post-IPO spending targets NY; City's e-commerce retailers could get access to voracious Chinese consumers,Crain's New York Business,5/12/2014,741,"Alibaba, the Chinese online retailer whose upcoming initial public offering could value it at more than $100 billion, already has a small presence in New York e-commerce, with a stake in Manhattan-based art and antiques marketplace 1stdibs.",Alibaba,Technology,1,2,2,,,,
Alibaba IPO Could Be Largest,Investor's Business Daily,5/12/2014,94,"Alibaba Group filed its long-awaited initial public offering in what is expected to be the biggest U.S. listing since Facebook (FB) É?? if not ever. Expectations are that China's e-commercial giant might sell a 12% stake, which would make ...",Alibaba,Technology,1,2,1,,,,
IN BRIEF; Alibaba IPO,The National Law Journal,5/12/2014,646,"Chinese electronic-commerce company Alibaba Group Holding Ltd. filed its highly anticipated U.S. initial public offering on May 6, tapping Simpson Thacher & Bartlett for legal counsel. Sullivan & Cromwell will advise the ...",Alibaba,Technology,1,2,4,,,,
Alibaba moves to cut counterfeit e-commerce goods ahead of IPO,Silicon Valley/San Jose Business Journal,5/15/2014,268,"As its IPO approaches, Chinese online marketplace Alibaba Group Holding Ltd. is more quickly removing products found to be fakes on its e-commerce site to make it tougher for counterfeit goods to be sold,  The Wall Street Journal reported.",Alibaba,Technology,1,5,2,,,,
China Mobile Is a Back-Door Alibaba Stock Play; A Telecom That Stands to Benefit From the E-Commerce Giant's IPO,The Wall Street Journal,5/17/2014,531,"Wall Street is eagerly awaiting the initial public offering of Alibaba, the Chinese e-commerce giant, but is turning a cold shoulder to a company that stands to benefit from Alibaba's growthÉ??China Mobile.",Alibaba,Technology,1,7,1,,,,
Bezos: Alibaba IPO won't affect Amazon; drone delivery isn't science fiction,Puget Sound Business Journal Online,5/21/2014,541,"While protesters who object to Amazon's third-party sellers offering foie gras and Amazon security contractors who want to unionize gathered outside, Jeff Bezos took the stage at the Seattle Repertory Theatre on Wednesday for the company's ...",Alibaba,Technology,1,4,4,,,,
"JD.com IPO a hit, seen as proxy for Alibaba; JD.com IPO to point to É??minimal valuation' for Alibaba, says analyst",MarketWatch,5/22/2014,433,SAN FRANCISCO (MarketWatch) É?? Wall Street just got a preview of what's expected to be Alibaba Group's blockbuster public trading debut. Shares of JD.com ?ˇrallied more than 10% to $21.13 on Thursday as the Chinese online retailer began ...,Alibaba,Technology,1,5,1,,,,
IPO bodes well for Alibaba,Chicago Tribune,5/23/2014,128,"Shares of Chinese e-commerce firm JD.com soared 10 percent in their U.S. market debut as investors sought a piece of the country's booming online retail market, auguring well for Alibaba's hotly anticipated mega-float.",Alibaba,Technology,1,6,1,,,,
Alibaba's knockoff products issue concerns investors ahead of IPO,Silicon Valley/San Jose Business Journal,5/28/2014,272,"Alibaba Group Holding Ltd., the Chinese online marketplace going public in the U.S., is facing concerns from brand owners and investors over knockoff products sold on its network of websites, and although Alibaba  has several protection ...",Alibaba,Technology,1,4,2,,,,
Knockoffs a headache for IPO-bound Alibaba,The San Mateo Daily Journal,5/28/2014,924,"HONG KONG É?? At first glance, the Monster Tron T1 headphones sold on Chinese e-commerce giant Alibaba's Taobao site are a tempting offer for audiophiles looking for state-of-the-art hi-fi equipment.",Alibaba,Technology,1,4,4,,,,
"SoftBank's Son touts Alibaba IPO, T-Mobile merger",Kansas City Business Journal Online,5/29/2014,194,"Sprint Corp. Chairman Masayoshi Son É?? perhaps not surprisingly É?? isn't treating the ""quiet period"" before the Alibaba Group Holding Ltd. IPO as sacred, touting that offering and hammering again the benefit from a merger with T-Mobile US ...",Alibaba,Technology,1,5,4,,,,
Alibaba may seek good fortune with massive Aug. 8 IPO Alibaba may seek good fortune with massive Aug. 8 IPO,Silicon Valley/San Jose Business Journal,6/4/2014,201,"Alibaba plans to launch its massive IPO on Aug. 8,  according to a report from Bloomberg. Co-founders Jack Ma and Joe Tsai are said to be targeting that date because the number eight in Chinese stands for ""fortune.""",Alibaba,Technology,1,4,2,,,,
Alibaba may seek good fortune with massive Aug. 8 IPO,Triangle Business Journal Online,6/5/2014,200,,Alibaba,Technology,1,5,4,,,,
"Here are the big risks of Alibaba's big IPO; Opinion: Chinese Internet giant dazzles, but questions linger",MarketWatch,6/10/2014,954,"SAN FRANCISCO (MarketWatch) É?? The initial public offering of Chinese Internet giant Alibaba has investors hoping to ride a big investment wave, even if that means downplaying the risks of what could be the biggest IPO ever.",Alibaba,Technology,1,3,1,,,,
Alibaba's Silence Isn't Golden for Its IPO,The Wall Street Journal,6/10/2014,411,"As Alibaba Group prepares for the bright lights of Broadway, it is keeping potential investors in the dark. There is yet time to illuminate things.",Alibaba,Technology,1,3,1,,,,
Alibaba to Detail Internet Business in New IPO Document; Move Is in Response to Concerns From Potential Investors,The Wall Street Journal,6/12/2014,884,"Alibaba Group Holding Ltd., responding to concerns from investors that it has been too tight-lipped, plans to give out more details about its Internet empire as it readies its potential $20 billion initial public offering, said people ...",Alibaba,Technology,1,5,1,,,,
"Alibaba gives more detail on finances, structure in new pre-IPO filing",Los Angeles Times,6/16/2014,447,"Ahead of what is expected to be a blockbuster initial public offering this year, Chinese Internet giant Alibaba Group Holding has filed an updated prospectus containing new details of its finances and partnership structure.",Alibaba,Technology,1,2,1,,,,
"Alibaba's Growth Called Impressive, But It Has Slowed Firm Updates U.S. IPO Filing Its March-quarter sales increased 38% this year vs. 71...",Investor's Business Daily,6/17/2014,595,"China e-commerce leader Alibaba Group gave new details Monday related to its upcoming initial public offering, showing slowing É?? though still fast É?? growth and revealing its management structure for the first time.",Alibaba,Technology,1,3,1,,,,
Alibaba Provides IPO Details,Investor's Business Daily,6/17/2014,75,"The Chinese e-commerce giant gave more data about its financials and partnership structure ahead of what might be the largest U.S. IPO. Q1 revenue rose 38% to $1.9 bil, while net income rose 32% to $890 mil. Alibaba also revealed its top ...",Alibaba,Technology,1,3,1,,,,
Alibaba reveals new details in latest IPO filing,Los Angeles Times,6/17/2014,471,"Ahead of what is expected to be a blockbuster initial public offering this year, Chinese Internet giant Alibaba Group Holding Ltd. has filed an updated prospectus containing new details of its finances and partnership structure.",Alibaba,Technology,1,3,1,,,,
Alibaba reveals roster of leaders in IPO filing,USA Today,6/17/2014,324,Alibaba unveiled the leaders overseeing the Chinese Internet commerce giant as well as an update on robust sales ahead of what could be the largest-ever initial public stock offering.,Alibaba,Technology,1,3,1,,,,
"Ahead of big IPO, Alibaba reveals more of what makes it tick",Washington Business Journal Online,6/17/2014,171,"Just ahead of what will likely be one of the biggest initial public offerings in the U.S., Alibaba has spoken. The Chinese Internet giant Alibaba Group Holding Ltd. has shown a little more of what makes it tick, something potential ...",Alibaba,Technology,1,3,4,,,,
"GoPro IPO Takes A Perfect Picture, Rising 31% In Debut Alibaba Will List On NYSE Maker of action cameras profitable, fast growing; best IPO...",Investor's Business Daily,6/27/2014,630,"GoPro turned in a pro performance Thursday in its market debut, the IPO headliner in a hectic week that indicates heightened exuberance for new issues.",Alibaba,Technology,1,6,1,,,,
Alibaba chooses NYSE for IPO,The Deal,6/27/2014,337,"Chinese e-commerce company Alibaba Group Holding Ltd. on Friday chose the New York Stock Exchange for its potentially record-setting initial public offering, dealing a blow to the technology-heavy Nasdaq.",Alibaba,Technology,1,6,2,,,,
Financial Industry Participants Expect Successful Alibaba Group IPO But Aren't Ready to Invest,PR Newswire,7/2/2014,987,"ConvergEx Group Survey Predicts Defining Moment for Chinese Companies That Seek Global Capital 
  NEW YORK, July 2, 2014 /PRNewswire/ -- ConvergEx Group, a leading provider of global brokerage and trading-related services, has released the ...",Alibaba,Technology,1,4,3,,,,
Harvest Fund offers Chinese access to Alibaba IPO,MarketWatch,7/7/2014,343,"Harvest Fund Management Co. Ltd., one of China's largest asset managers, plans to launch a fund focused on giving Chinese investors access to shares in Alibaba Group Holding Ltd.'s initial public offering on the New York Stock Exchange.",Alibaba,Technology,1,2,1,,,,
"Yahoo plan for Alibaba cash draws attention; With IPO drawing near, questions on how Marissa Mayer will use proceeds",MarketWatch,7/10/2014,565,"SAN FRANCISCO (MarketWatch) É?? Yahoo Inc. will kick off the tech earnings season next week and once again the focus will likely be on its prized stake in Alibaba, the Chinese tech powerhouse gearing up for initial public offering.",Alibaba,Technology,1,5,1,,,,
Alibaba may kick off IPO process by month's end,MarketWatch,7/10/2014,231,"Alibaba Group Holding Ltd. may launch its initial public offering process as soon as the end of the month, a timetable the Chinese e-commerce company shared with some investors in an email, people familiar with the matter said.",Alibaba,Technology,1,5,1,,,,
"GOPRO LEADS IPO BOOM IN SECOND QUARTER; REST OF YEAR EXPECTED TO BE STRONG WITH BOX, ALIBABA IN THE PIPELINE",San Jose Mercury News,7/11/2014,593,"GoPro helped make the second quarter the busiest period for initial public offerings in more than six years despite IPO delays for Box and other Silicon Valley companies in the face of market volatility, PwC reported Thursday.",Alibaba,Technology,1,6,2,,,,
Alibaba's blockbuster $20B-plus IPO appears timed for mid-August Alibaba's IPO appears timed for mid-August,Silicon Valley/San Jose Business Journal,7/11/2014,641,"The wait may be over. In the middle of next month, investors may see whether Chinese Internet giant Alibaba's IPO can pull off the biggest IPO ever.",Alibaba,Technology,1,6,2,,,,
"The Pipeline: Alibaba's looming IPO, LA tech's huge year and big bucks for pups",Upstart Business Journal Online,7/11/2014,597,"A look at the hottest deals, business moves and upstart entrepreneurs for July 11 from around the country, as reported by The Business Journals and other local business publications.",Alibaba,Technology,1,6,4,,,,
Alibaba's IPO appears timed for mid-August,Albany Business Review Online,7/14/2014,640,,Alibaba,Technology,1,2,4,,,,
"Investment Bankers Believe Alibaba Will Be Largest IPO of All Time According to BDO USA, LLP",Business Wire,7/15/2014,746,Alibaba IPO to Impact Other China-based Offerings and Yahoo! ,Alibaba,Technology,1,3,3,,,,
"Yahoo Q2 Misses; Alibaba Brightens Picture Revenue, Net Income Decline U.S. firm can retain bigger stake in China e-com giant after that co...",Investor's Business Daily,7/16/2014,808,"Yahoo late Tuesday posted Q2 earnings and sales that missed Wall Street views, but the U.S. Web portal said it struck a deal with China's Alibaba that will let it retain a bigger stake in the e-commerce giant after its U.S. IPO.",Alibaba,Technology,1,4,1,,,,
Alibaba plans IPO for after Labor Day,MarketWatch,7/17/2014,200,"Alibaba Group Holding Ltd. is now planning to launch its initial public offering after the U.S. Labor Day holiday on Sept. 1, according to a person familiar with the company.",Alibaba,Technology,1,5,1,,,,
Alibaba Reportedly Plans To Launch IPO After Labor Day,RTT News,7/17/2014,275,"Chinese e-commerce giant Alibaba Group Holding Ltd. is now planning to launch its initial public offering after the U.S. Labor Day holiday on September 1, the Wall Street Journal reported Thursday, citing a person familiar with ...",Alibaba,Technology,1,5,2,,,,
Alibaba's huge IPO now looks like it will come after Labor Day Alibaba's huge IPO now looks like it will come after Labor Day,Silicon Valley/San Jose Business Journal,7/17/2014,351,"It looks like the Alibaba IPO won't be a summer affair, after all, with news that the potentially record offering has been pushed off until sometime after Labor Day.",Alibaba,Technology,1,5,2,,,,
"Alibaba Taps Brakes, Sees September IPO",The Wall Street Journal,7/18/2014,790,"Alibaba Group Holding Ltd. pushed back its initial public offering until September, as key questions about the deal remained unresolved ahead of the company's targeted launch date.",Alibaba,Technology,1,6,1,,,,
Alibaba's huge IPO now looks like it will come after Labor Day,Washington Business Journal Online,7/18/2014,350,,Alibaba,Technology,1,6,4,,,,
ConvergEx Group; Financial Industry Participants Expect Successful Alibaba Group IPO But Aren't Ready to Invest,Investment Weekly News,7/19/2014,304,"By a News Reporter-Staff News Editor at Investment Weekly News -- ConvergEx Group, a leading provider of global brokerage and trading-related services, has released the results of its Alibaba IPO Survey, ...",Alibaba,Technology,1,7,2,,,,
"Alibaba To Wait Until After U.S. Labor Day To Launch IPO, Xinhua Says",Forbes,7/20/2014,72,"Chinese e-commerce industry leader Alibaba Group has decided to hold its IPO after the U.S. Labor Day holiday after Sept. 1 instead of late July as originally planned, China's state media reported. The offering, which may be the world's ...",Alibaba,Technology,1,1,1,,,,
Sullivan & Cromwell's Payne counsels underwriters on Alibaba IPO,Inside Counsel,7/24/2014,233,"It's the buzziest IPO of the year so far, and Sarah P. Payne is part of itÉ??Alibaba's proposed public offering. The Sullivan & Cromwell partner is one of the attorneys advising the underwriters on the U.S. IPO of the Chinese company. ...",Alibaba,Technology,1,5,4,,,,
Snapdeal chief tracks Alibaba for cue on IPO,The San Francisco Chronicle,7/30/2014,1112,"Investment bankers have been stalking Kunal Bahl these days. And they should. With Alibaba poised to raise $20 billion from a monster initial public offering in the United States, no doubt a Goldman Sachs or Morgan Stanley would love a piece ...",Alibaba,Technology,1,4,1,,,,
Alibaba Invests $120 Million in Mobile Gaming Company Kabam; Deal Marks Chinese Tech Giant's Latest Push to Reach More Users Before IPO,The Wall Street Journal,7/31/2014,686,"Alibaba Group Holding Ltd. is backing another California startup, disclosing on Thursday a $120 million strategic investment in gaming company Kabam Inc. and a partnership to publish and distribute its free-to-play mobile games.",Alibaba,Technology,1,5,1,,,,
"BDO USA, LLP; Investment Bankers Believe Alibaba Will Be Largest IPO of All Time According to BDO USA, LLP",Investment Weekly News,8/2/2014,768,"By a News Reporter-Staff News Editor at Investment Weekly News -- According to a new study (http://www.bdo.com/2014-ipo-survey) by BDO USA, LLP, one of the nation's leading accounting and consulting ...",Alibaba,Technology,1,7,2,,,,
"As Alibaba IPO looms, China mulls taxing Alibaba users",MarketWatch,8/7/2014,348,"HONG KONG (MarketWatch) É?? As the U.S. stock debut of leading Chinese e-tailer Alibaba Group draws near, China is considering launching its first-ever taxation of the country's massive e-commerce market, state-run media reported Wednesday.",Alibaba,Technology,1,5,1,,,,
"Alibaba IPO Has Unusual Challenges for Bankers Alibaba IPO Has Unusual Challenges for Bankers; A Chinese Company, Incorporated...",Dow Jones News Service,8/11/2014,1044,"As Alibaba Group Holding Ltd. heads toward what could be the biggest-ever initial public offering, its bankers are homing in on one of their biggest challenges: keeping the shares aloft once they start trading.",Alibaba,Technology,1,2,3,,,,
"Alibaba IPO Has Unusual Challenges for Bankers; A Chinese Company, Incorporated...",The Wall Street Journal,8/11/2014,1043,,Alibaba,Technology,1,2,1,,,,
Amended Alibaba filing may clear way for post-Labor Day IPO,Silicon Valley/San Jose Business Journal,8/12/2014,294,Alibaba has reworked its relationship with online payments affiliate Alipay in a move that could set the stage for an IPO road show after the Labor Day holiday.,Alibaba,Technology,1,3,2,,,,
"The Pipeline: Ballmer and Gates back gun law, Tim O'Shaughnessy steps aside at LivingSocial, and Alibaba eyes post-Labor Day IPO",Upstart Business Journal Online,8/13/2014,613,"A look at the hottest deals, business moves and upstart entrepreneurs for August 12 from around the country, as reported by The Business Journals and other local business publications.",Alibaba,Technology,1,4,4,,,,
"German Web Firms Look to Alibaba for Clue to IPO Success; Solid Alibaba Launch Would Strengthen Zalando's, Rocket's Debut",The Wall Street Journal,8/17/2014,879,"FRANKFURTÉ??Owners of two German Internet companies quietly hope Chinese e-commerce giant Alibaba Group Holding Ltd. pulls off a successful initial public offering next month, according to people familiar with the matter and fund managers. ...",Alibaba,Technology,1,1,1,,,,
An Overlooked Play on Alibaba IPO,The Wall Street Journal,8/20/2014,424,Investors looking for Alibaba treasure shouldn't forget that some of it lies outside the company's cave. The promise of the Chinese e-commerce giant becoming the largest-ever initial share sale in the U.S. ...,Alibaba,Technology,1,4,1,,,,
Alibaba IPO has Wall Street 'eager' to get in on action,China Daily-US Edition,8/27/2014,772,"Perhaps its brand already has had an impact in the US and globally, but China's e-commerce giant Alibaba Group will certainly deepen it even further when it lists on the New York Stock Exchange (NYSE) - reportedly - sometime after Labor Day ...",Alibaba,Technology,1,4,4,,,,
Alibaba's Results Improve Ahead of IPO,Dow Jones News Service,8/27/2014,912,"Alibaba Group Holding Ltd. reported a surge in revenue and earnings for its latest quarter, driven in part by increased activity on mobile devices, though its profit margin narrowed.",Alibaba,Technology,1,4,3,,,,
Alibaba Pumps IPO Enthusiasm With Huge Profit Jump,Forbes,8/27/2014,21,"The Alibaba IPO express rolls on, faster and faster.",Alibaba,Technology,1,4,1,,,,
"Alibaba's Profit, Mobile Business Soaring Ahead Of IPO",Forbes,8/27/2014,69,"Alibaba Group, the Chinese e-commerce leader en route to what may be the largest public offering in history, said?ˇtoday?ˇnet profit nearly tripled in the three months ending in June from a year earlier to $1.99 billion. A 46% gain in total ...",Alibaba,Technology,1,4,1,,,,
Alibaba earnings surge as possible record IPO looms,Silicon Valley/San Jose Business Journal,8/27/2014,309,"Chinese Internet giant Alibaba posted a big second-quarter profit jump Wednesday, a move likely to please investors who lately have been looking for more than just stellar revenue growth from IPO companies.",Alibaba,Technology,1,4,2,,,,
US Investors Eye IPO For China's Alibaba,Voice of America Press Releases and Documents,8/27/2014,592,"VOA English Service US Investors Eye IPO for China's Alibaba Victor Beattie August 27, 2014 2: 49 PM WASHINGTON- U.S. investors are preparing for Chinese e-commerce giant Alibaba's market debut next month, when it is expected to begin trading on ...",Alibaba,Technology,1,4,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Argus Leader,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Asbury Park Press,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Clarion-Ledger,8/28/2014,675,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Courier-Post,8/28/2014,675,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Democrat & Chronicle,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Florida Today,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Fort Collins Coloradoan,8/28/2014,675,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Greenville News,8/28/2014,675,"san francisco É?? Alibaba shares were offered for sale by insiders on secondary equity markets at valuations ranging from $120 billion to $130 billion in the past six months, say two private-fund managers.",Alibaba,Technology,1,5,4,,,,
"Alibaba now can spot acquisitions from lofty U.S. perch; Ahead of IPO, e-commerce giant leases an iconic address",MarketWatch,8/28/2014,773,"Ahead of IPO, e-commerce giant leases an iconic address SAN FRANCISCO (MarketWatch) É?? Alibaba Group Holding Ltd., the Chinese e-commerce giant about to go public, has picked an appropriate building for new U.S. corporate offices in San ...",Alibaba,Technology,1,5,1,,,,
Trade talk suggests Alibaba IPO could hit $150B,News-Leader,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,News-Press,8/28/2014,675,"san francisco É?? Alibaba shares were offered for sale by insiders on secondary equity markets at valuations ranging from $120 billion to $130 billion in the past six months, say two private-fund managers.",Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Pensacola News Journal,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B,Pensacola News Journal,8/28/2014,677,"san francisco É?? Alibaba shares were offered for sale by insiders on secondary equity markets at valuations ranging from $120 billion to $130 billion in the past six months, say two private-fund managers.",Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Poughkeepsie Journal,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Reno Gazette-Journal,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,St. Cloud Times,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,Statesman Journal,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,The Courier-Journal,8/28/2014,675,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,The Daily Advertiser,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,The Des Moines Register,8/28/2014,677,,Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B,"The Journal News (White Plains, NY)",8/28/2014,675,"san francisco É?? Alibaba shares were offered for sale by insiders on secondary equity markets at valuations ranging from $120 billion to $130 billion in the past six months, say two private-fund managers.",Alibaba,Technology,1,5,4,,,,
Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B Trade talk suggests Alibaba IPO could hit $150B,The News Journal,8/28/2014,675,"san francisco É?? Alibaba shares were offered for sale by insiders on secondary equity markets at valuations ranging from $120 billion to $130 billion in the past six months, say two private-fund managers.",Alibaba,Technology,1,5,4,,,,
Alibaba's results improve before IPO Court rules on claims by FedEx workers,The Washington Post,8/28/2014,782,"Alibaba Group Holding's revenue accelerated in the second quarter on strong gains in its mobile business, providing investors with what may be the final glimpse of the Chinese e-commerce company's financials before its expected landmark ...",Alibaba,Technology,1,5,1,,,,
Alibaba's updated financials support $150B IPO,USA Today,8/28/2014,379,Alibaba Group Holding has updated its IPO registration document with financial results for the quarter ended in June showing sales at the Chinese Internet giant are still surging and its profit margins are expanding.,Alibaba,Technology,1,5,1,,,,
Hong Kong Exchange Considers Rule Change After Losing Alibaba IPO Hong Kong Exchange Considers Rule Change After Losing Alibaba IPO; Some Chinese...,Dow Jones News Service,8/29/2014,521,"HONG KONG--Hong Kong's stock exchange is exploring a rule change, months after its refusal to budge on the issue of equal voting rights for shareholders cost it the lucrative initial public offering of e-commerce giant Alibaba Group Holding ...",Alibaba,Technology,1,6,3,,,,
NYSE extends system testing for Alibaba IPO,The Trade,8/29/2014,218,The New York Stock Exchange is taking no chances with next month's IPO of Alibaba Group Holding and is offering exchange members a second weekend where they can test their internal trading systems with NYSE's IPO trading logic.,Alibaba,Technology,1,6,4,,,,
Hong Kong Exchange Considers Rule Change After Losing Alibaba IPO; Some Chinese...,The Wall Street Journal,8/29/2014,527,,Alibaba,Technology,1,6,1,,,,
Alibaba To Launch IPO Roadshow On Week Of September 8: Reports,RTT News,8/30/2014,169,"Chinese e-commerce giant Alibaba Group Holding Ltd. is planning to formally pitch its new York initial public offering to investors in the week of September 8, media reports said.",Alibaba,Technology,1,7,2,,,,
Alibaba appears lined up for mid-September IPO,Silicon Valley/San Jose Business Journal,8/30/2014,382,"Alibaba, the Chinese Internet giant whose transaction totals exceed Amazon and eBay combined, will reportedly set a price and begin its IPO road show the week of Sept. 8.",Alibaba,Technology,1,7,2,,,,
Alibaba Plans IPO Launch Week of Sept. 8; Shares Could Begin Trading as Soon as Sept. 18 or 19,The Wall Street Journal,8/30/2014,853,"What will likely be the world's largest initial public offering in years appears to be just over a week away. Chinese e-commerce giant Alibaba Group Holding Ltd. plans to launch its U.S. IPO early in the week of Sept. 8, as the company aims ...",Alibaba,Technology,1,7,1,,,,
Goldman Sachs Named 'Stabilization Agent' for Alibaba IPO Goldman Sachs named É??stabilization agent' for Alibaba IPO,Dow Jones News Service,9/3/2014,153,"Goldman Sachs Group Inc. has landed a key role in Alibaba Group Holding Ltd.'s upcoming initial public offering as the bank in charge of overseeing the deal's early share trading, people familiar with the matter said.",Alibaba,Technology,1,4,3,,,,
Goldman Sachs named É??stabilization agent' for Alibaba IPO,MarketWatch,9/3/2014,165,,Alibaba,Technology,1,4,1,,,,
"Alibaba IPO to heat up market for Box, Lending Club",Contra Costa Times,9/5/2014,1245,,Alibaba,Technology,1,6,4,,,,
Alibaba seeks $21.1 billion in record-breaking U.S. IPO,Dallasnews.com,9/5/2014,549,"Sept. 5 É?? Alibaba Group Holding Ltd. is seeking to raise as much as $21.1 billion in its initial public offering, in what could be the largest sale of new stock in the U.S. ever.",Alibaba,Technology,1,6,4,,,,
Alibaba IPO Will Have 'Friends And Family' Share Program,Dow Jones News Service,9/5/2014,840,"Alibaba Group Holding Ltd. is planning to let employees and other people close to the Chinese e-commerce buy some shares in its impending initial public offering, people familiar with the matter said.",Alibaba,Technology,1,6,3,,,,
