Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Close To Pricing IPO At Around $38 Per Shr - Source,The Wall Street Journal,5/17/2012,201,"Facebook Inc. is close to deciding to price its historic initial public offering at $38 a share, said a person familiar with the matter. Facebook executives and senior bankers on the deal were holed up in a meeting discussing the price and a ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Sets Final IPO Pricing At $38 A Share,The Wall Street Journal,5/17/2012,933,"Facebook Inc. (FB) set its final price at $38 a share, as the social network gets ready for its historic initial public offering on Friday. The social network priced at the top end of the range it set earlier this week, when it said it would ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Prices IPO at Record Value,The Wall Street Journal,5/17/2012,1049,Facebook Inc. priced its shares at $38 apiece for an initial public offering that would make it the most valuable U.S. company at the time of its stock market debut.,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Insiders Boost Plans to Cash Out in IPO,The Wall Street Journal,5/17/2012,1037,Some of Facebook Inc.'s biggest investors now plan to cash out as much as half of their stakes in the social network's initial public offering this week.,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Fears for Facebook as IPO Approaches,The Wall Street Journal,5/17/2012,687,,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Should You Stay Away?,The Wall Street Journal,5/17/2012,194,(This story has been posted on The Wall Street Journal Online's Market Beat blog at http://blogs.wsj.com/marketbeat.) By Steven Russolillo Retail investors who participate in high flying tech IPOs have had a mixed track record of success.,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook-Owning Funds Slump Ahead of IPO,The Wall Street Journal,5/17/2012,517,(This story has been posted on The Wall Street Journal Online's Market Beat blog at http://blogs.wsj.com/marketbeat.) By Steven Russolillo Tree Top Industries (TTII) this morning joined the club of publicly traded investment companies that ...,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: A Look at the Record Books,The Wall Street Journal,5/17/2012,239,"By David Benoit Facebook's valuation will be the largest for a U.S. company on its offering date, according to Dealogic. That ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Pricing Looking Like $38,The Wall Street Journal,5/17/2012,188,,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who's A Broker's Best Friend In Facebook IPO?,The Wall Street Journal,5/17/2012,214,"(This story has been posted on The Wall Street Journal Online's Market Beat blog at http://blogs.wsj.com/marketbeat.) By Brett Philbin For financial advisers at major brokerages clamoring for a piece of the Facebook IPO for clients, a ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Chat: Facebook's IPO,The Wall Street Journal,5/17/2012,124,"With the Friday launch of Facebook's IPO, investors are wondering how their fortunes will change, and Facebook users are ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Official Announcement The IPO is Priced at $38,The Wall Street Journal,5/17/2012,304,"By David Benoit Here is the official, historic press release from Facebook on the pricing of its IPO at $38, as WSJ reported ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Investors' Worth on IPO Day,The Wall Street Journal,5/17/2012,768,Now that Facebook has set the price of its shares for its IPO at $38--for a $104 billion valuation--here's a look how ...,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Morgan Stanley Brokers Allocated Sharply More Shares,The Wall Street Journal,5/17/2012,236,By Brett Philbin Financial advisers at Morgan Stanley Smith Barney have been told their allocation of shares of Facebook Inc. ...,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Nasdaq Trading Begins Around 11 a.m.,The Wall Street Journal,5/17/2012,198,By Jacob Bunge Nasdaq OMX Group Inc. told traders Thursday that shares in Facebook Inc. are expected to be released for trading ...,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Market Players Gear Up for Offering,The Wall Street Journal,5/17/2012,600,"(This story has been posted on The Wall Street Journal Online's Market Beat blog at http://blogs.wsj.com/marketbeat.) By Alexandra Scaggs, Brett Philbin and Jonathan Cheng",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Now No. 22 In U.S. By Market Cap,The Wall Street Journal,5/17/2012,211,"By David Benoit Move over Amazon.com, Facebook is taking your No. 22 spot in the list of U.S. companies by market cap.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Now No. 23 In U.S. By Market Cap,The Wall Street Journal,5/17/2012,265,"By David Benoit Move over Amazon.com, Facebook is taking your No. 23 spot in the list of U.S. companies by market cap.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: From $4.9 Million to $104 Billion in Eight Years,The Wall Street Journal,5/17/2012,107,Facebook is now the 23nd largest company in the U.S.,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Senators to Blast Co-Founder Saverin,The Wall Street Journal,5/17/2012,323,"Facebook co-founder Eduardo Saverin, one of Mark Zuckerberg's Harvard roommates, has angered two U.S. senators ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Links: Fears of Facebook IPO,The Wall Street Journal,5/17/2012,153,"(This story has been posted on The Wall Street Journal Online's Market Beat blog at http://blogs.wsj.com/marketbeat .) By Steven Russolillo Gas prices keep falling, and they're expected to go even lower in near term -- Econbrowser",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's IPO: Should you jump in? Facebook's IPO: What does it mean for you?,The Washington Post,5/17/2012,690,Wondering what Facebook's upcoming initial public offering of stock means for you? The Washington Post's business editors turned to our investment columnist Barry Ritholtz for some plain talk on the stock sale:,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO catches lawmakers' attention; Silicon Valley is not the only arena keeping an eye on the Facebook IPO.,The Washington Post,5/17/2012,466,"Facebook's initial public offering is the buzz of the technology community, but it's not going unnoticed in Washington. On Thursday, Sen. Carl Levin (D-Mich.) said that the social network's public stock offering is a prime example of why ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Get started 'On' May 18: Facebook IPO to yield $100B valuation, new Senate bill targets SBA's entre??pre??neur??ship office; Our daily blend...",The Washington Post,5/17/2012,558,"Our daily blend of the latest news, trends and tips for the small business community. What's going 'on': Facebook set for $100B valuation: When Facebook makes its debut on the markets Friday, ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the IPO, the eight people you meet on Facebook; Before you invest in the IPO, consider what you're getting.",The Washington Post,5/17/2012,630,What does this much-ballyhooed http://www.washingtonpost.com/business/technology/facebook-to-offer-as-many-as-421-million-shares-in-ipo/2012/05/16/gIQALlFXTU_story.html Facebook IPO amount to? I've said before that if Mark Zuckerberg isn't ...,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Circuit: Comcast ditching data caps, Howard Schmidt stepping down, Facebook IPO; Comcast ditches data caps; cybersecurity chief steps down; Facebook's Eduardo Saverin",The Washington Post,5/17/2012,670,"Comcast ditches data caps, moves to tiers: Comcast announced Thursday that it will move to tiered plans. http://blog.comcast.com/2012/05/comcast-to-replace-usage-cap-with-improved-data-usage-management-approaches.html In a blog post on the ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's IPO: What does it mean for you?,The Washington Post,5/17/2012,683,,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The biggest challenge ahead for Facebook after the IPO; Once Facebook goes public, Mark Zuckerberg will need to strok egos, keep the entrepr...",The Washington Post,5/17/2012,972,"""A million dollars isn't cool. You know what's cool? A billion dollars."" So goes the http://vimeo.com/27384812 famous line from ""The Social Network,"" when Napster founder Sean Parker (played by Justin Timberlake) begins to educate a young ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACEBOOK PRICES IPO,TR Daily,5/17/2012,45,"Facebook, Inc., said late today it priced its initial public offering of common stock at $38 per share. The company will gross $6.8 billion from the sale, and existing shareholders selling stock in the offering will gross about $9.1 ...",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO prompts more insiders to sell,Tulsa World,5/17/2012,498,"NEW YORK - Insiders and early Facebook investors are taking advantage of increasing investor demand and selling more of their stock in the company's initial public offering, the company said Wednesday.",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook IPO pumps wealth into Silicon Valley ; Sale will create a thousand more millionaires, some billionaires",USA Today,5/17/2012,1599,"Silicon Valley is once again flush with nouveau riche after a wave of tech IPOs that will be eclipsed by Facebook's. LinkedIn, Zynga and Yelp -- a few of the local start-ups to go public in the past year -- raised a combined $1.5 billion in ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO set to be global giant,Abilene Reporter-News,5/18/2012,188,Early investors stand to reap as much as $18.4 billion Associated Press NEW YORK - Facebook's initial public offering of stock is shaping up to be one of the largest ever. The world's definitive online social network is raising at least $16 ...,Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's $16B IPO one of world's largest,Aiken Standard,5/18/2012,831,"NEW YORK -- Facebook's initial public offering of stock is shaping up to be one of the largest ever. The world's definitive online social network is raising at least $16 billion, a big windfall for a company that began eight years ago with ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road to IPO: Milestones in Facebook's history,Aiken Standard,5/18/2012,875,,Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road to IPO: Milestones in Facebook's history Road to IPO: Milestones in Facebook's history,Aiken Standard,5/18/2012,963,Key developments in the eight years since Facebook Inc.'s creation: February 2004: Mark Zuckerberg starts Facebook as a sophomore at Harvard University.,Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO is a math learning opportunity,Atlanta Business Chronicle Online,5/18/2012,384,Deep in the Facebook IPO hype something very interesting is happening É?? everyone who is a minor is getting a math lesson. Children who are barely middle schoolers through high schoolers are asking their parents to invest in Facebook stock or ...,Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's ATL office rings in IPO with eggs and mimosas,Atlanta Business Chronicle Online,5/18/2012,410,"Earlier this week, I attempted to get Facebook to let me hang out at its newish Midtown Atlanta offices, as the social networking giant became history's third largest IPO.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO set at $38 per share,Baltimore Business Journal Online,5/18/2012,117,"Signaling that investor demand is exceptionally strong for Facebook, the world's largest online social network Thursday  set its initial public offering of stock at the high end of its expected range, at $38 per share.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Gets Delayed Before Opening,Benzinga.com,5/18/2012,125,"The much anticipated Facebook (NASDAQ: FB) IPO has seen significant delays this morning. Originally, shares were scheduled to begin trading at 11am. At 11, shares did not trade, and the Nasdaq announced that shares would have to be delayed ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook Drops to $39, Is This the End of IPO Hype?",Benzinga.com,5/18/2012,135,"It seems that all the hype in the world can't save Facebook (NASDAQ: FB) today.I wrote about this and other concerns just hours ago, noting that hype can backfire or have no affect at all on an IPO. That seems to be the case for Facebook, ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodman & Renshaw Reiterates Outperform, $7 PT on Quepasa; Facebook IPO Brings Attention",Benzinga.com,5/18/2012,137,"Rodman & Renshaw remains rated Outperform on Quepasa (NYSE: QPSA) and maintains its $7 price target on shares. Rodman & Renshaw notes, ""Today,Facebook (FB, Not Rated) is coming out with its own IPO. The company joins a host of other ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook IPO Disappoints on First Day of Trading, Finishes at $38.18",Benzinga.com,5/18/2012,161,"Facebook (NASDAQ: FB) shares closed today at a price of $38.18, close to the $38 price investors paid in its initial public offering (IPO). This closing price was around 9% lower than Facebook's publicly traded opening price of $42.05. ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Real Deal on Wall Street: 5 Market Problems Facebook IPO Won't Solve,Benzinga.com,5/18/2012,410,"Facebook (NASDAQ: FB) frenzy has swept the land. I obviously was not born when gold fever hit the California coast, but Facebook frenzy has to be very close in resemblance.?ˇ Just look at the creepy similarities:",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Devastating Reasons Facebook's IPO Could Flop,Benzinga.com,5/18/2012,613,"On the cusp of Facebook's (NASDAQ: FB) long-awaited IPO, analysts and investors continue to argue over the social network's potential success. But what are the real dangers? Why could Facebook end up a dud?Bearish analysts and bloggers ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPO price for Facebook is $38 per share,Birmingham Business Journal Online,5/18/2012,117,"Facebook said it has priced its IPO at $38 a share, following four months of paperwork, hype and speculation. According to CNN, Facebook's IPO will raise $16 billion at that price and make it the largest tech IPO in history.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO at $16 billion,Business First of Buffalo Online,5/18/2012,248,"Facebook Inc. sold its shares in its initial public offering Thursday afternoon at $38 a share, raising $16 billion in the biggest tech IPO in history.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friends of Facebook? Most local investment firms take wait-and-see stance on social networking site's IPO,Business First of Louisville,5/18/2012,1172,"If you had a big chunk of change you were ready to invest, would you plunk it down on Facebook Inc.? The fact that the ever-evolving, ever-growing social media site is expected to go public any day, possibly even today, has the business ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO one of world's largest,Cape Cod Times,5/18/2012,893,,Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook's $16 billion IPO one of world's largest Facebook's IPO has landed;Starting today, the social network will be trading 'li...",Charleston Gazette,5/18/2012,882,"NEW YORK - Facebook's initial public offering of stock is shaping up to be one of the largest ever. The world's definitive online social network is raising at least $16 billion, a big windfall for a company that began eight years ago with ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACEBOOK IPO LIVE: The social network goes public,Chicago Sun-Times,5/18/2012,1039,"NEW YORK É?? Facebook's stock is trading up 8 percent Friday, as investors seek to put a dollar value on the company that turned online social networking into a global cultural phenomenon.",Facebook,Technology,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. stocks edge higher ahead of Facebook IPO,Chicago Sun-Times,5/18/2012,326,"Excitement about Facebook's initial public offering gave U.S. stocks a small lift in morning trading on Friday. The Dow Jones industrial average rose 11 points to 12,453 in the first half-hour of trading. The Standard & Poor's 500 index ...",Facebook,Technology,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO trading opens at $42 Facebook IPO trading opens at $42 Facebook IPO trading opens at $42 Facebook IPO trading opens at $42 Facebook IPO trading opens at $42 Facebook IPO trading opens at $42 Facebook IPO trading opens at $42 Facebook trading sets record IPO volume,CNN Wire,5/18/2012,563,"NEW YORK (CNNMoney) -- Facebook's stock market debut is finally here -- and investors jumped on the breathlessly hyped IPO, sending shares up almost 11% at the start of trade.",Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO trading opens at $42,CNN Wire,5/18/2012,617,,Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-social: Zynga tumbles after Facebook IPO Anti-social: Zynga tumbles after Facebook IPO,CNN Wire,5/18/2012,471,"Social media stocks just aren't feeling the love, despite Facebook's highly-anticipated stock market debut. Shares of Zynga, which generates the lion's share of its revenue from Facebook, tumbled as much as 14% Friday ...",Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook trading sets record IPO volume,CNN Wire,5/18/2012,679,,Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook IPO underwhelms Web, too",CNN Wire,5/18/2012,691,"UPDATE 4:15 pm ET: Adds closing stock price, more Web react (CNN) -- As the stock market opened Friday with a ring of the bell by Mark Zuckerberg, all eyes were on Facebook -- the social media Megalodon he nursed from a dorm-room project to ...",Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries Stocks: Facebook IPO vs. Europe worries,CNN Wire,5/18/2012,617,NEW YORK (CNNMoney) -- U.S. stocks were poised for a mixed open Friday as investor excitement over the Facebook initial public offering was tempered by continued worries about the European sovereign debt crisis.,Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stocks: Facebook IPO vs. Europe worries,CNN Wire,5/18/2012,734,,Facebook,Technology,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook IPO huge, but no ""pop"" Facebook IPO huge, but no ""pop""",Contra Costa Times,5/18/2012,1112,"After years of anticipation, months of preparation and weeks of frenzied hype, Facebook's shares barely budged Friday in their Wall Street debut.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook's IPO underwhelms as Wall Street, other social media stocks plunge Facebook's IPO underwhelms as Wall Street, other social media stocks plunge",Contra Costa Times,5/18/2012,1335,"Today: Facebook fails to rise substantially in its first day of public trading, closing near the price it sold the shares in its initial public offering as technical glitches plague Nasdaq. Also: Wall Street closes its worst week of the ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Live chat on Facebook's IPO, 11 a.m. on May 18 Live chat on Facebook's IPO, 11 a.m. on May 18",Contra Costa Times,5/18/2012,146,"Bay Area News Group business columnist Chris O'Brien will be moderating a live discussion about Facebook's initial public offering of stock, starting at 11 a.m. Friday, May 18. Scroll down for guidelines about the chat.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Silicon Valley venture capitalists say about the Facebook IPO What Silicon Valley venture capitalists say about the Facebook IPO,Contra Costa Times,5/18/2012,556,"We asked Silicon Valley venture capitalists and other experts about Facebook's Wall Street debut, which ended trading Friday just 23 cents above where it started.",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Brien: HP layoffs and Facebook IPO reflect Silicon Valley's highs and lows O'Brien: HP layoffs and Facebook IPO reflect Silicon Valley's highs and lows,Contra Costa Times,5/18/2012,827,"So rarely do two events occur in such close proximity that perfectly capture the agony and the ecstasy of Silicon Valley. As the sun rose, hundreds of hoodie-wearing Facebook employees gathered on their new campus to celebrate the social ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassidy: Facebook's IPO is more than a liquidity event in Silicon Valley -- and beyond Cassidy: Facebook's IPO is more than a liquidity event in Silicon Valley -- and beyond,Contra Costa Times,5/18/2012,958,"These are the days that Silicon Valley lives for. Facebook's initial public stock sale Friday brought with it the kind of anticipation reserved for Christmas, New Year's, Diwali, Tet, Fiestas Patrias and the Fourth of July all rolled into ...",Facebook,Technology,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
