,Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,neutral,weakneg,weakpos,strongpos,strongneg
438,Alibaba prices IPO at $68 per share,The Repository,9/19/2014,106,Alibaba  the Chinese e-commerce powerhouse named after a fabled  poor woodsman who discovers a thieves' den full of treasures  is ready to strike it rich on the New York Stock Exchange.,Alibaba,Technology,2,6,4,2,0,4,0,4
439,Snapdeal chief tracks Alibaba for cue on IPO,The San Francisco Chronicle,7/30/2014,1112,Investment bankers have been stalking Kunal Bahl these days. And they should. With Alibaba poised to raise $20 billion from a monster initial public offering in the United States  no doubt a Goldman Sachs or Morgan Stanley would love a piece ...,Alibaba,Technology,1,4,1,4,0,0,2,4
440,Alibaba shares close 38% above IPO price,The San Francisco Chronicle,9/19/2014,252,Posted on Friday  September 19 at 9:17am | By Kathleen Pender Shares of Chinese e-commerce giant Alibaba opened at $92.70 apiece Friday morning  36 percent above their initial public offering price of $68. They quickly zoomed to as high as ...,Alibaba,Technology,2,6,1,4,0,2,0,0
441,Yahoo rakes in jackpot from Alibaba's IPO,The San Luis Obispo Tribune,9/19/2014,494,,Alibaba,Technology,2,6,4,0,0,0,0,0
442,Yahoo stock surges in anticipation of Alibaba IPO,The San Mateo Daily Journal,3/18/2014,692,SAN FRANCISCO â Yahoo is getting another lift from its stake China's Alibaba Group  a thriving Internet company that has helped mask Yahoo's own financial funk.,Alibaba,Technology,1,3,4,0,2,1,1,0
443,Knockoffs a headache for IPO-bound Alibaba,The San Mateo Daily Journal,5/28/2014,924,HONG KONG â At first glance  the Monster Tron T1 headphones sold on Chinese e-commerce giant Alibaba's Taobao site are a tempting offer for audiophiles looking for state-of-the-art hi-fi equipment.,Alibaba,Technology,1,4,4,4,0,2,0,2
444,Yahoo rakes in another jackpot from Alibaba's IPO,The San Mateo Daily Journal,9/20/2014,488,,Alibaba,Technology,2,7,4,0,0,0,0,0
445,Alibaba is seeking $24.3B in IPO,The Seattle Times,9/6/2014,373,SAN FRANCISCO â China's Alibaba Group is seeking to raise up to $24.3 billion in its upcoming IPO  an amount that would be the most ever raised by a company heading into its stock-market debut.,Alibaba,Technology,1,7,2,3,0,0,0,0
446,ALIBABA IPO DEBUTS WITH A ROAR  CLIMBING MORE THAN 36 PERCENT,The Star-Ledger,9/20/2014,268,Wall Street Alibaba Group came out with a monster roar Friday as its shares began trading at $92.70  up more than 36 percent from its IPO price of $68.,Alibaba,Technology,2,7,4,0,0,0,0,1
447,Yahoo rakes in jackpot from Alibaba's IPO,The State (Columbia  SC),9/19/2014,494,,Alibaba,Technology,2,6,4,0,0,0,0,0
448,Yahoo rakes in jackpot from Alibaba's IPO,The Sun Herald (Biloxi  MS),9/19/2014,494,,Alibaba,Technology,2,6,4,0,0,0,0,0
449,As Alibaba prepares for IPO  tech stocks retreat,The Times (Trenton  NJ),5/9/2014,721,As Alibaba prepares for IPO  tech stocks retreat NEWYORK It's a tough time for a tech debut. For two years  investors bid up biotechnology and internet companies  enticed by their strong growth prospects in an otherwise weak economy. But they ...,Alibaba,Technology,1,6,4,0,2,5,1,2
450,NYSE extends system testing for Alibaba IPO,The Trade,8/29/2014,218,The New York Stock Exchange is taking no chances with next month's IPO of Alibaba Group Holding and is offering exchange members a second weekend where they can test their internal trading systems with NYSE's IPO trading logic.,Alibaba,Technology,1,6,4,0,0,0,0,0
451,Alibaba IPO to test US market structure resiliency,The Trade,9/10/2014,534,It has been a dicey few years for initial public offerings in the US cash equities markets  but the first day of trading for Alibaba Group on the New York Stock Exchange  presumed to be on 19 September  will demonstrate how far the overall ...,Alibaba,Technology,1,4,4,0,2,0,0,0
452,Alibaba IPO underscores Amazon's profit weakness,The Virginian-Pilot,5/11/2014,2206,By Adam Satariano Bloomberg News Alibaba Group Holding is often called the Amazon.com of China. Yet the Asian company's filing for an initial public offering shows that the differences between the two e-commerce giants are vast.,Alibaba,Technology,1,1,4,6,2,3,0,0
453,Alibaba Plans Equal Sway for Banks --- Chinese Internet IPO May Give Same Billing  Fees To the Top Firms,The Wall Street Journal,3/17/2014,881,Alibaba Group Holding Ltd. isn't planning to give any of the banks that are leading its initial public offering a substantially bigger role than the others.,Alibaba,Technology,1,2,1,2,0,3,0,0
454,New York Stock Exchange Is Front-Runner to Land Prized Alibaba Listing; IPO Is Expected to Raise as Much as $15 Billion  Which Would Be One of the Largest Ever NYSE Leads Race to Host Alibaba's IPO --- China Tech Firm May Raise $15 Billion,The Wall Street Journal,3/18/2014,710,The New York Stock Exchange is the front-runner to win the high-profile listing for the shares of Chinese e-commerce giant Alibaba Group Holding Ltd.  according to people familiar with the matter.,Alibaba,Technology,1,3,1,10,0,1,0,0
455,NYSE Leads Race to Host Alibaba's IPO --- China Tech Firm May Raise $15 Billion,The Wall Street Journal,3/19/2014,711,,Alibaba,Technology,1,4,1,2,0,0,0,0
456,Alibaba to Pay Underwriters 1% of U.S. IPO as Base Fee; Fees May Be Smallest in U.S. Since Facebook's IPO,The Wall Street Journal,3/28/2014,745,,Alibaba,Technology,1,6,1,0,0,0,0,0
457,Online Map Company AutoNavi Agrees to be Acquired by Alibaba; Alibaba  Which Is Preparing for IPO Later this Year in New York  Already Owns...,The Wall Street Journal,4/11/2014,174,Chinese online map company AutoNavi Holdings Ltd. said it has agreed to be bought out by Alibaba Group Holding Ltd. AutoNavi on Friday said it agreed to the dealâworth $21 an American depositary share  or $1.13 billionâwhich was first ...,Alibaba,Technology,1,6,1,0,0,6,0,0
458,Yahoo to Set Stage for Alibaba IPO's Filing; When U.S. Firm Releases Its Quarterly Results  It Will Also Shed Light on E-Commerce Giant,The Wall Street Journal,4/13/2014,564,It's a big week for tech earnings  including Google Inc.  International Business Machines Corp. and Intel Corp. But the most interesting news may come from Yahoo Inc.  which will release revenue and profit numbers from Alibaba Group Holding ...,Alibaba,Technology,1,1,1,5,0,1,4,0
459,Yahoo to Set Stage for Alibaba's IPO,The Wall Street Journal,4/14/2014,664,It's a big week for tech earnings  including Google Inc.  International Business Machines Corp. and Intel Corp. But the most interesting news may come from Yahoo Inc.  which will release revenue and profit numbers from Alibaba Group Holding ...,Alibaba,Technology,1,2,1,3,0,1,3,0
460,Alibaba Appoints Rothschild Group as Financial Adviser Ahead of IPO; Rothschild Has Been Involved in a Number of High-Profile Deals in Asia,The Wall Street Journal,4/16/2014,540,Alibaba Group Holding Ltd . has appointed European merchant bank Rothschild Group as its financial adviser ahead of its multibillion-dollar initial public offering in the U.S.  people with knowledge of the deal said Wednesday.,Alibaba,Technology,1,4,1,2,0,0,2,0
461,Alibaba's Questions to Answer Before IPO,The Wall Street Journal,4/17/2014,403,Alibaba's fourth-quarter numbers look good. But as the Chinese e-commerce giant gears up for a U.S. listing  it still has a lot of questions to answer about its future.,Alibaba,Technology,1,5,1,6,0,1,1,0
462,Alibaba IPO Knocks Yahoo Off Track,The Wall Street Journal,5/7/2014,378,Alibaba has finally made its entrance. But for Yahoo investors  the exit beckons. Alibaba Group Holding filed for an initial public offering late Tuesday. Shares of Yahoo  which owns a 22.6% stake in the Chinese e-commerce giant and has been ...,Alibaba,Technology,1,4,1,4,2,1,0,1
463,China's Internet Crown Jewel Sets IPO --- E-Commerce Giant Alibaba  Still Growing Quickly  Is Valued at More Than $100 Billion in U.S...,The Wall Street Journal,5/7/2014,1129,Chinese Internet giant Alibaba Group Holding Ltd. officially filed plans to offer shares in the U.S. in a deal that would value the company at more than $100 billion  confirming the scale of its e-commerce operations ahead of what is ...,Alibaba,Technology,1,4,1,6,0,0,5,0
464,Alibaba's IPO Won't Help Yahoo,The Wall Street Journal,5/8/2014,325,Alibaba has finally made its entrance. But for Yahoo investors  the exit beckons. Alibaba Group Holding filed for an initial public offering late Tuesday. Shares of Yahoo  which owns a 22.6% stake in the ...,Alibaba,Technology,1,5,1,2,2,2,0,0
465,Alibaba IPO Pressures Yahoo Chief,The Wall Street Journal,5/9/2014,1220,The clock is now ticking for Marissa Mayer. Since she joined the Internet company nearly two years ago  the Yahoo Inc. chief executive has had more time than her predecessors to attempt one of the most unlikely turnarounds in the history of ...,Alibaba,Technology,1,6,1,3,2,0,0,0
466,China Mobile Is a Back-Door Alibaba Stock Play; A Telecom That Stands to Benefit From the E-Commerce Giant's IPO,The Wall Street Journal,5/17/2014,531,Wall Street is eagerly awaiting the initial public offering of Alibaba  the Chinese e-commerce giant  but is turning a cold shoulder to a company that stands to benefit from Alibaba's growthâChina Mobile.,Alibaba,Technology,1,7,1,2,0,4,1,1
467,Alibaba's Silence Isn't Golden for Its IPO,The Wall Street Journal,6/10/2014,411,As Alibaba Group prepares for the bright lights of Broadway  it is keeping potential investors in the dark. There is yet time to illuminate things.,Alibaba,Technology,1,3,1,0,0,1,6,0
468,Alibaba to Detail Internet Business in New IPO Document; Move Is in Response to Concerns From Potential Investors,The Wall Street Journal,6/12/2014,884,Alibaba Group Holding Ltd.  responding to concerns from investors that it has been too tight-lipped  plans to give out more details about its Internet empire as it readies its potential $20 billion initial public offering  said people ...,Alibaba,Technology,1,5,1,2,0,2,0,6
469,Alibaba Taps Brakes  Sees September IPO,The Wall Street Journal,7/18/2014,790,Alibaba Group Holding Ltd. pushed back its initial public offering until September  as key questions about the deal remained unresolved ahead of the company's targeted launch date.,Alibaba,Technology,1,6,1,2,2,0,1,0
470,Alibaba Invests $120 Million in Mobile Gaming Company Kabam; Deal Marks Chinese Tech Giant's Latest Push to Reach More Users Before IPO,The Wall Street Journal,7/31/2014,686,Alibaba Group Holding Ltd. is backing another California startup  disclosing on Thursday a $120 million strategic investment in gaming company Kabam Inc. and a partnership to publish and distribute its free-to-play mobile games.,Alibaba,Technology,1,5,1,0,0,1,0,0
471,Alibaba IPO Has Unusual Challenges for Bankers; A Chinese Company  Incorporated...,The Wall Street Journal,8/11/2014,1043,,Alibaba,Technology,1,2,1,0,3,0,0,0
472,German Web Firms Look to Alibaba for Clue to IPO Success; Solid Alibaba Launch Would Strengthen Zalando's  Rocket's Debut,The Wall Street Journal,8/17/2014,879,FRANKFURTâOwners of two German Internet companies quietly hope Chinese e-commerce giant Alibaba Group Holding Ltd. pulls off a successful initial public offering next month  according to people familiar with the matter and fund managers. ...,Alibaba,Technology,1,1,1,10,0,3,6,0
473,An Overlooked Play on Alibaba IPO,The Wall Street Journal,8/20/2014,424,Investors looking for Alibaba treasure shouldn't forget that some of it lies outside the company's cave. The promise of the Chinese e-commerce giant becoming the largest-ever initial share sale in the U.S. ...,Alibaba,Technology,1,4,1,6,2,2,0,4
474,Hong Kong Exchange Considers Rule Change After Losing Alibaba IPO; Some Chinese...,The Wall Street Journal,8/29/2014,527,,Alibaba,Technology,1,6,1,1,0,0,0,1
475,Alibaba Plans IPO Launch Week of Sept. 8; Shares Could Begin Trading as Soon as Sept. 18 or 19,The Wall Street Journal,8/30/2014,853,What will likely be the world's largest initial public offering in years appears to be just over a week away. Chinese e-commerce giant Alibaba Group Holding Ltd. plans to launch its U.S. IPO early in the week of Sept. 8  as the company aims ...,Alibaba,Technology,1,7,1,8,0,0,2,0
476,Alibaba IPO Will Have 'Friends and Family' Share Program; Plan  Popular During Dot.com Boom  Allows Some to Buy Shares Before the Stock...,The Wall Street Journal,9/5/2014,836,Alibaba Group Holding Ltd. is planning to let employees and other people close to the Chinese e-commerce buy some shares in its impending initial public offering  people familiar with the matter said.,Alibaba,Technology,1,6,1,2,0,1,0,2
477,Alibaba IPO Price Should Save Face Alibaba IPO Price Should Save Face,The Wall Street Journal,9/5/2014,307,Alibaba Group Holding isn't rushing to grab the treasure. The Chinese e-commerce giant on Friday unveiled a price range for its U.S. initial public offering of $60 to $66 a share. At the midpoint  this would value it at about $162 billion  ...,Alibaba,Technology,1,6,1,8,0,0,2,0
478,Alibaba Targets $155 Billion Value in IPO; Chinese E-Commerce Giant Sets Its Expected Per-Share Price Range at $60 to $66,The Wall Street Journal,9/5/2014,1362,Alibaba Group Holding Ltd. unveiled plans for an initial public offering that values the company at $155 billion  which would instantly make it one of the largest listed in the U.S. and mark one of the biggest stock-market debuts ever.,Alibaba,Technology,1,6,1,2,0,0,2,0
479,Alibaba IPO Price Should Save Face,The Wall Street Journal,9/6/2014,322,,Alibaba,Technology,1,7,1,2,0,0,0,0
480,Alibaba Takes IPO Sales Pitch on the Road Alibaba Takes IPO Sales Pitch on Tour,The Wall Street Journal,9/7/2014,924,Now the hard sell begins. Alibaba Group Holding Ltd. and its bankers have been talking with investors about the Chinese e-commerce giant's potentially $24 billion initial public offering for over a year. But this week  as they begin the ...,Alibaba,Technology,1,1,1,2,0,0,0,2
481,Alibaba IPO Will End Enchantment With Yahoo,The Wall Street Journal,9/8/2014,561,Yahoo is on a magic carpet ride. But it is held aloft by the soon-to-be-shifting winds of Alibaba Group Holding. Yahoo's shares have more than doubled over the past two years  even as its revenue has fallen. Carrying it higher has been its ...,Alibaba,Technology,1,2,1,0,2,2,2,0
482,Alibaba Founder Says China Remains Focus; Jack Ma Seeks to Allay Concerns at IPO Marketing Event in New York WSJ.D Technology: Alibaba Takes $24 Billion IPO on the Road,The Wall Street Journal,9/8/2014,733,Alibaba Group Holding Ltd. founder Jack Ma on Monday sought to allay concerns about the company's structure and expansion strategy amid a push to convince investors to buy shares in its potentially $24 billion initial public offering.,Alibaba,Technology,1,2,1,0,0,6,0,4
483,Alibaba Takes IPO Sales Pitch on Tour,The Wall Street Journal,9/8/2014,827,,Alibaba,Technology,1,2,1,0,0,0,0,0
484,Alibaba Takes $24 Billion IPO on the Road,The Wall Street Journal,9/9/2014,730,,Alibaba,Technology,1,3,1,0,0,0,0,0
485,Alibaba Frenzy Escapes Small Investor; Lack of Familiarity with Alibaba in U.S. Limits Interest Ahead of IPO,The Wall Street Journal,9/12/2014,719,Steven M. Alter  a dentist in Manhattan  enjoys in his spare time trading stocks  commodities and precious metals from his Connecticut home. He considers himself a seasoned investor  sometimes making 50 trades in one day. But one stock he ...,Alibaba,Technology,1,6,1,1,0,4,2,2
486,Rocket Internet's IPO Apes Alibaba in Shooting for Orbit Rocket Internet Apes Alibaba in Shooting for High IPO Orbit,The Wall Street Journal,9/14/2014,516,Investors may be wooed by the growth trajectory of Rocket Internet  billed as the largest initial public offering in Germany since the financial crisis. More challenging might be to understand what's really powering Rocket.,Alibaba,Technology,1,1,1,6,0,4,0,4
487,Alibaba IPO Price Range Said Likely to Rise; Alibaba IPO Price Range Increase Likely to Be Unveiled in SEC Filing,The Wall Street Journal,9/15/2014,271,HONG KONG--Alibaba Group Holding Ltd. is likely to raise the price range of its U.S. initial public offering because of buoyant demand for the deal  people familiar with the situation said Monday.,Alibaba,Technology,1,2,1,8,0,2,1,0
488,Alibaba Raises Projected Price Range for Market Debut; Chinese E-Commerce Firm's IPO Now Seen Priced at $66-$68 a Share  Up From $60-$66,The Wall Street Journal,9/15/2014,1001,HONG KONGâAlibaba Group Holding Ltd.  which is in the middle of marketing what could be the world's largest initial public offering  now thinks it could do a little better.,Alibaba,Technology,1,2,1,8,2,1,1,0
489,Rocket Internet Apes Alibaba in Shooting for High IPO Orbit,The Wall Street Journal,9/15/2014,533,,Alibaba,Technology,1,2,1,2,0,0,0,0
490,Internet Power Balance Tilts Toward Asia; After Alibaba's IPO  Four of the 10 Most Valuable Web Companies Will Hail From the Region,The Wall Street Journal,9/16/2014,1267,Silicon Valley dominates the Internet  but this week's initial public offering by Alibaba Group Holding Ltd. shows how much action is shifting to Asia.,Alibaba,Technology,1,3,1,5,1,2,0,0
491,Alibaba IPO Gives Insiders Rare Chance to Sell Early; Many Shares Aren't Bound by 'Lockup' Arrangement,The Wall Street Journal,9/18/2014,927,A swath of early investors in Alibaba Group Holding Ltd. will be able to sell more than $8 billion worth of shares on the day the Chinese e-commerce company goes public  an unusual arrangement that is influencing how bankers price the ...,Alibaba,Technology,1,5,1,2,2,2,1,0
492,Alibaba IPO Gives Insiders Rare Chance To Sell Early Alibaba IPO Gives Insiders Rare Chance to Sell Early,The Wall Street Journal,9/18/2014,918,A swath of early investors in Alibaba Group Holding Ltd. will be able to sell more than $8 billion worth of shares on the day the Chinese e-commerce company goes public  an unusual arrangement that is influencing how bankers price the ...,Alibaba,Technology,1,5,1,4,2,2,1,0
493,Alibaba IPO Leaves Investors Wanting More; Some Potential Buyers Were Discouraged by Price  While Demand from Retail Investors Surprises,The Wall Street Journal,9/19/2014,1064,Despite the big pop enjoyed by participants in Alibaba Group Holding Ltd.'s initial public offering  investors were still hungry after the company made its trading debut at $92.70 on Friday morning.,Alibaba,Technology,2,6,1,6,4,1,4,2
494,Alibaba IPO: A Hit Overseas  but Less Dazzling in China; Many Cite Missed Opportunity as E-Commerce Giant Lists in New York,The Wall Street Journal,9/19/2014,1087,As Chinese e-commerce giant Alibaba Group Holding Ltd. moved toward a massive initial public offering in New York  back home in China the question was: Would Alibaba founder and chairman Jack Ma leave the country?,Alibaba,Technology,2,6,1,8,3,2,0,0
495,Alibaba's IPO: Go-To Guy Works Out The Kinks,The Wall Street Journal,9/20/2014,413,As Alibaba Group Holding Ltd. Executive Chairman Jack Ma posed for cameras on the floor of the New York Stock Exchange on Friday morning  Benny Adler was hustling to make sure the e-commerce company's stock would trade without a hitch.,Alibaba,Technology,2,7,1,2,1,2,0,0
496,Alibaba IPO Biggest in History as Bankers Exercise 'Green Shoe' Option; Debut of Chinese E-Commerce Giant Reaches $25 Billion,The Wall Street Journal,9/21/2014,145,Bankers for Alibaba Group Holding Ltd. maximized the size of the deal Friday  officially making it the biggest initial public offering ever  at $25 billion  according to people familiar with the sale.,Alibaba,Technology,2,1,1,4,0,1,2,0
497,Alibaba IPO Signals Strength in U.S. Stocks; Success of Offering Is Set to Spur Appetite for New Listings,The Wall Street Journal,9/21/2014,990,The record initial public offering by Alibaba Group Holding Ltd. underscores financial markets' appetite for new listings  giving fresh fuel to the rally in stocks.,Alibaba,Technology,2,1,1,2,0,2,4,0
498,Halo Effect of Alibaba's IPO Doesn't Last,The Wall Street Journal,10/6/2014,344,Some tech firms have been able to ride the wake of Alibaba Group Holding's strong initial public offering. That effect is beginning to subside.,Alibaba,Technology,2,2,1,2,1,4,0,0
499,Investors Await Alibaba's Earnings --- Report on Tuesday Will Be the First Since U.S. IPO -- and Hopes Are High,The Wall Street Journal,11/3/2014,709,Investors who bet on strong growth at Alibaba Group Holding Ltd. when it went public in September will soon get their first look at how well the Chinese e-commerce giant is meeting their expectations.,Alibaba,Technology,2,2,1,8,0,2,3,0
500,Maker of Chinese Dating App Momo Files for U.S. IPO; Alibaba owns a 21% stake in Momo,The Wall Street Journal,11/7/2014,345,The maker of Chinese dating and chat app Momo has confirmed its plan to go public in the U.S.  as it expands its rapidly growing user base and pursues âmonetization capabilitiesâ in areas like games and mobile marketing.,Alibaba,Technology,2,6,1,0,2,0,0,0
501,Yahoo to Buy Ad Platform for $640 Million; Company  Flushed With Money from Alibaba IPO  Seeks to Expand Video Business,The Wall Street Journal,11/11/2014,583,Yahoo Inc. is using some of its cash from the sale of Alibaba stock to catch up with rivals in video advertising. The Internet portal said Tuesday it is paying about $640 million in cash to buy video-ad startup BrightRoll Inc.  Yahoo's ...,Alibaba,Technology,2,3,1,0,1,0,0,0
502,Toronto-Based CPPIB Posts 3.4% Investment Return; Canada's Largest Pension Fund Participated in Alibaba IPO  Expanded U.S. Holdings,The Wall Street Journal,11/13/2014,336,CPP Investment Board  Canada's largest pension fund  posted a 3.4% investment return in its latest quarter  which it attributed to solid returns from fixed-income assets and positive contributions from private investments.,Alibaba,Technology,2,5,1,0,0,6,1,0
503,Chinese Social-App Group Momo Expects to Raise $256.6 Million in IPO; ADRs in Company Partially Owned by Alibaba to Be Priced Within Range...,The Wall Street Journal,11/28/2014,367,The Chinese maker of social-media dating and chat mobile apps  Momo Inc.  expects to raise $256.6 million from a planned stock offering  the company said in a regulatory filing.,Alibaba,Technology,2,6,1,0,0,0,0,0
504,An Alibaba IPO means lots of cash for Yahoo to spend on more acquisitions,The Washington Post,5/7/2014,699,The Chinese Alibaba Group filed for what could be a record-breaking tech initial public offering Tuesday. And thanks to a 2005 investment in the company Yahoo is in line to get a major cash infusion from the IPO.,Alibaba,Technology,1,4,1,6,0,0,0,0
505,Alibaba's results improve before IPO Court rules on claims by FedEx workers,The Washington Post,8/28/2014,782,Alibaba Group Holding's revenue accelerated in the second quarter on strong gains in its mobile business  providing investors with what may be the final glimpse of the Chinese e-commerce company's financials before its expected landmark ...,Alibaba,Technology,1,5,1,2,0,2,2,0
506,Alibaba seeking $21 billion in IPO Family Dollar spurnsDollar General again,The Washington Post,9/6/2014,1004,Alibaba Group Holding seeks to raise more than $21 billion in an IPO that will value the Chinese e-commerce giant at up to $163 billion and rank as the largest technology debut in the United States.,Alibaba,Technology,1,7,1,2,0,0,2,0
507,Should you invest in Alibaba? And 9 other questions about the world's biggest IPO,The Washington Post,9/19/2014,2336,In the late 1990s  a 34-year-oldÂ Chinese schoolteacher named Jack Ma  working from his cramped apartment  unveiled a small  colorful  chaotic Web service he named after an old folk tale.,Alibaba,Technology,2,6,1,4,0,2,0,4
508,Va. drops fraud suit against JPMorgan Alibaba's IPO ranks as world's biggest,The Washington Post,9/23/2014,836,Virginia Attorney General Mark R. Herring (D) on Monday dropped JPMorgan Chase from a mortgage-securities lawsuit against the country's biggest banks after learning that his predecessor  Ken Cuccinelli II (R)  had struck a confidential ...,Alibaba,Technology,2,3,1,0,2,0,0,4
509,ChannelAdvisor partner Alibaba filing for IPO,Triangle Business Journal Online,3/17/2014,185,ChannelAdvisor's latest partner  Alibaba Group  could go public in the United States  having recently begun the IPO process in an effort to raise $15 billion in public funds.,Alibaba,Technology,1,2,4,2,0,0,0,0
510,Alibaba may seek good fortune with massive Aug. 8 IPO,Triangle Business Journal Online,6/5/2014,200,,Alibaba,Technology,1,5,4,2,0,1,3,0
511,Alibaba sets IPO target at $60-$66  expects to raise up to $24B,Triangle Business Journal Online,9/8/2014,350,,Alibaba,Technology,1,2,4,0,0,0,0,0
512,Alibaba up about 40% after record IPO; shares at $92.7,Triangle Business Journal Online,9/19/2014,634,,Alibaba,Technology,2,6,4,0,0,0,0,0
513,Alibaba prices IPO shares at $68  raising $21.8 billion Alibaba prices IPO shares at $68  raising $21.8 billion Alibaba prices IPO shares at $68  raising $21.8 billion Alibaba up about 40% after record IPO; shares at $92.7,Triangle Business Journal Online,9/19/2014,517,Alibaba Group Holding Ltd. priced its initial public offering at $68 per share  raising $21.8 billion in the biggest tech IPO in history. The Chinese Internet giant hit the top end of its target share-price range  giving it an initial market ...,Alibaba,Technology,2,6,4,2,0,2,0,0
514,The Pipeline: Alibaba's looming IPO  LA tech's huge year and big bucks for pups,Upstart Business Journal Online,7/11/2014,597,A look at the hottest deals  business moves and upstart entrepreneurs for July 11 from around the country  as reported by The Business Journals and other local business publications.,Alibaba,Technology,1,6,4,6,0,0,1,0
515,The Pipeline: Ballmer and Gates back gun law  Tim O'Shaughnessy steps aside at LivingSocial  and Alibaba eyes post-Labor Day IPO,Upstart Business Journal Online,8/13/2014,613,A look at the hottest deals  business moves and upstart entrepreneurs for August 12 from around the country  as reported by The Business Journals and other local business publications.,Alibaba,Technology,1,4,4,2,0,0,1,0
516,How will the Alibaba IPO impact U.S. retail?,Upstart Business Journal Online,9/19/2014,1346,As Alibaba goes public in the United States  raising as much as $25 billion and possibly becoming the largest initial public offering ever  a series of questions marks have appeared about the Chinese e-commerce company's impact on U.S. ...,Alibaba,Technology,2,6,4,6,0,0,0,0
517,UNIVERSITY OF MICHIGAN EXPERTS AVAILABLE TO DISCUSS ALIBABA IPO,US Fed News,9/16/2014,423,ANN ARBOR  Mich.  Sept. 16 -- The University of Michigan issued the following news release: The Chinese e-commerce giant Alibaba is set to make its Wall Street debut on Friday with a float that could raise $25 billion-the largest IPO ever.,Alibaba,Technology,1,3,4,4,0,0,0,0
518,New York flexes IPO muscle ; Alibaba chooses U.S. for its initial public offering,USA Today,3/18/2014,473,Chinese Internet company Alibaba is launching its IPO in New York  underscoring the USA's standing as the global hub of the new stock boom. Companies like Alibaba are rushing to list their initial public offerings on major U.S. exchanges  a ...,Alibaba,Technology,1,3,1,2,0,0,1,0
519,U.S. investors may win with Alibaba's IPO,USA Today,3/18/2014,563,Alibaba's plans to file an initial public offering with the New York Stock Exchange could be a big win for U.S. tech investors -- at least for those who can get their shares at or near the eventual IPO price.,Alibaba,Technology,1,3,1,4,1,0,0,0
520,Don't hold your breath: Road to IPO can be long ; Q: When will Alibaba's IPO...,USA Today,4/10/2014,246,,Alibaba,Technology,1,5,1,0,0,0,0,0
521,Weibo flies as IPOs flap ; Cooling IPO market could crimp Alibaba's awaited debut,USA Today,4/18/2014,455,Weibo  better known as China's answer to Twitter  was the big winner among five initial public offerings that made their debuts Thursday. Yet  it wasn't a highflying performance to make investors chirp.,Alibaba,Technology,1,6,1,6,0,1,1,0
522,It might take a bit of magic to get in on Alibaba launch ; Q: How can I get a piece of Alibaba's IPO?,USA Today,5/6/2014,243,Investors who missed out on Amazon  PayPal and eBay in the early days are hoping Alibaba will be their next chance. The Chinese Internet company is a giant there  playing a critical role in electronic commerce in the region. When the ...,Alibaba,Technology,1,3,1,4,2,0,2,2
523,Alibaba's IPO filing has some glaring holes ; Market value  IPO price not addressed,USA Today,5/8/2014,543,Alibaba's long-awaited registration statement for the Chinese e- commerce giant's public stock offering runs more than 2 300 pages. Yet potential investors who want to snap up what could eventually be a record-size IPO remain short on ...,Alibaba,Technology,1,5,1,4,0,1,2,2
524,Alibaba ahead of Facebook  pre-IPO ; Financial strength of company outshines previous tech giants,USA Today,5/9/2014,625,This may resemble shooting ducks in a pond. That's how easy the sale of Alibaba Group's IPO shares to professional money managers and wealthy brokerage clients may look in the weeks and months ahead -- thanks to the company's strong ...,Alibaba,Technology,1,6,1,6,0,4,4,0
525,Alibaba reveals roster of leaders in IPO filing,USA Today,6/17/2014,324,Alibaba unveiled the leaders overseeing the Chinese Internet commerce giant as well as an update on robust sales ahead of what could be the largest-ever initial public stock offering.,Alibaba,Technology,1,3,1,6,0,0,3,0
526,Alibaba's updated financials support $150B IPO,USA Today,8/28/2014,379,Alibaba Group Holding has updated its IPO registration document with financial results for the quarter ended in June showing sales at the Chinese Internet giant are still surging and its profit margins are expanding.,Alibaba,Technology,1,5,1,6,0,1,2,0
527,Alibaba IPO revives 2000 memories ; Offerings set pace that rivals heady  scary times,USA Today,9/5/2014,380,"Britney Spears' Oops! I Did It Again was a top album of 2000. Well  it's back to the future on Wall Street  as the bubbling initial public offering market is prompting investors to hope they don't have another 2000-style ""oops"" moment  too.",Alibaba,Technology,1,6,1,2,1,3,5,4
528,Alibaba takes 'road show' to three continents ; Tech's largest-ever IPO woos investors globally,USA Today,9/8/2014,502,If you're going to try to execute the largest technology IPO ever  you have to go global. And  based on first reports of the marketing plan for Alibaba's initial offering of public stock  that's exactly what China's dominant e-commerce ...,Alibaba,Technology,1,2,1,6,2,2,0,0
529,Alibaba IPO could be Yahoo's first-class ticket,USA Today,9/9/2014,441,,Alibaba,Technology,1,3,1,2,0,0,2,0
530,Investors sizing up value of Alibaba IPO ; Is it like Facebook or Amazon?,USA Today,9/11/2014,617,The New York debut of Alibaba shares later this month will likely place the company among the 10 most valuable technology firms traded in the U.S.,Alibaba,Technology,1,5,1,5,0,0,2,0
531,Alibaba's price tag jumps ; IPO range goes up to $66-$68 a share  and $70 could...,USA Today,9/16/2014,438,,Alibaba,Technology,1,3,1,2,0,0,0,0
532,With an IPO this big  expect the unexpected ; Q: How high can Alibaba's stock go?,USA Today,9/18/2014,260,Get ready for the biggest IPO in U.S. history. However  it's not the size of the deal that matters most  but the price. Alibaba  the Chinese e-commerce company  is primed to start trading Friday if it sells shares to initial investors ...,Alibaba,Technology,1,5,1,9,2,2,1,0
