|Headline|Source|Date|Word Count|Company|Industry|IPO Period|Day of Week|Source Tier|PositiveScore|NegativeScore|Ticker|Close|High|Low|Open|Volume|Offer Date|Issuer|Offer Price|Open Price|1st Day Close|1st Day % Px Chng|$ Change Opening|$ Change Close|Mngr1|Mngr2|Mngr3|Mngr4|Mngr5|Mngr6|Offer Date +90|Date_y|Close +90|% Px Chng +90|Label
703|Facebook questioned before IPO; The SEC asked the firm to detail things suc...|Los Angeles Times|2012-06-16|747|Facebook|Technology|2|7|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
704|Five firms to test the IPO market; They hope to perform better than Facebook's botched May debut.|Los Angeles Times|2012-07-10|899|Facebook|Technology|2|3|1|0.05882352941176471|0.0|FB|31.47|32.48|31.1599|32.43|14276996.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
705|AFTER THE IPO; Facebook has an identity crisis; Can it be a social networking service and an advertising company?|Los Angeles Times|2012-07-27|1235|Facebook|Technology|2|6|1|0.0|0.0|FB|23.705|24.54|22.28|23.21|123098340.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
706|SOCIAL MEDIA ANXIETY RATTLES WALL ST. Facebook's stock sinks on a big drop in sales growth and a loss of $157 million in its first quarter since its IPO.|Los Angeles Times|2012-07-27|910|Facebook|Technology|2|6|1|0.0|0.0|FB|23.705|24.54|22.28|23.21|123098340.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
707|Bungling of Facebook IPO was costly to UBS|Los Angeles Times|2012-08-01|501|Facebook|Technology|2|4|1|0.0|0.0|FB|20.88|21.58|20.84|21.5|44604365.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
708|SOCIAL MEDIA; Investors focus on Facebook earnings; Wall Street is looking for hopeful signs in firm's first financial report since the IPO. Facebook to debut financial results After IPO fiasco, 1st look at earnings a...|Los Angeles Times|2012-07-25|1088|Facebook|Technology|2|4|1|0.0|0.0|FB|29.34|29.49|28.08|28.39|17230154.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
709|ROAD TO IPO; Facebook treads carefully to market; The firm, in its latest move, requests a halt to trading of shares on private exchanges. FACEBOOK HALTS SECONDARY STOCK TRADES AHEAD OF IPO; CFO, COO WILL LEAD COMPAN...|Los Angeles Times|2012-03-29|563|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
710|S&P Capital IQ Publishes Pre-IPO Report about Facebook|M2 EquityBites|2012-05-14|263|Facebook|Technology|1|2|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
711|Facebook Prices IPO|M2 EquityBites|2012-05-18|193|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
712|Robert H. Smith School of Business' Gerard Hoberg to Analyze Facebook IPO|Manufacturing Close-Up|2012-02-05|207|Facebook|Technology|1|1|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
713|USHCC Lauds Inclusion of Minority-Owned Banks in Facebook IPO|Manufacturing Close-Up|2012-03-19|242|Facebook|Technology|1|2|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
714|Forrester Estate: Facebook Pre-IPO Stock in Exchange for Silicon Valley Estate|Manufacturing Close-Up|2012-03-24|97|Facebook|Technology|1|7|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
715|Facebook IPO Embroiled in Lawsuit|Manufacturing Close-Up|2012-05-31|229|Facebook|Technology|2|5|4|0.0|0.0|FB|29.6|29.67|26.83|28.54|111639200.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
716|5 concerns about the Facebook IPO; Commentary: It's going to be a monster â€” but for whom?|MarketWatch|2012-02-01|886|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
717|Is Facebook IPO Google all over again? Commentary: Market conditions are drastically different this time|MarketWatch|2012-02-01|995|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
718|Seagate, Broadcom, AOL fuel tech gains; Sector boosted by results while awaiting Facebook IPO filing|MarketWatch|2012-02-01|662|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
719|Facebook tops Google as biggest Internet IPO; $5 billion deal highlights social networking market's growth|MarketWatch|2012-02-01|347|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
720|Facebook IPO: Web 2.0 valuations at a glance|MarketWatch|2012-02-01|135|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
721|Facebook IPO filing: What to look for|MarketWatch|2012-02-01|733|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
722|Facebook files for $5 billion IPO|MarketWatch|2012-02-01|273|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
723|Facebook's IPO will be way overvalued; Commentary: Facebook price-to-sales ratio projected to be sky high|MarketWatch|2012-02-01|712|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
724|Facebook IPO will be overvalued|MarketWatch|2012-02-01|42|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
725|Facebook files for $5 billion IPO; Social-networking giant earned $1 billion in profit last year|MarketWatch|2012-02-02|801|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
726|Facebook IPO has many mutual-fund friends; Commentary: Happiest buyers are sellers of the IPO shares|MarketWatch|2012-02-02|559|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
727|Why Facebook is likely to do a face-plant; Commentary: Long-awaited IPO is Stupid Investment of the Week|MarketWatch|2012-02-03|1236|Facebook|Technology|1|6|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
728|Facebook and the future of public markets; Commentary: Firm doesn't need the money from its upcoming IPO|MarketWatch|2012-02-06|960|Facebook|Technology|1|2|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
729|Facebook's IPO: A question of valuation; Commentary: Google could drive stake into heart of â€˜second Internet'|MarketWatch|2012-02-10|920|Facebook|Technology|1|6|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
730|Facebook IPO's impact on your fund manager; Commentary: Index or active strategies matter more than a hot stock|MarketWatch|2012-02-13|955|Facebook|Technology|1|2|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
731|Millennial Media IPO drawing strong buzz; Mobile advertising firm's upside could rival Facebook, analyst says|MarketWatch|2012-03-27|706|Facebook|Technology|1|3|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
732|Google's last dance before Facebook IPO; Commentary: Will it try to steal the spotlight?|MarketWatch|2012-04-12|820|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
733|Facebook should have gone public already; Commentary: Zuckerberg's solo deal, patents, may delay IPO timing|MarketWatch|2012-04-26|1096|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
734|Facebook IPO faces global bear attack; Commentary: When hype meets reality|MarketWatch|2012-05-03|697|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
735|Facebook sets terms, price range for IPO; Social network to sell 180 million shares at $28 to $35 each|MarketWatch|2012-05-03|926|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
736|Facebook sets terms, price range for IPO|MarketWatch|2012-05-03|255|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
737|Facebook's Zuckerberg: Today's Don Draper; Analysis: CEO gets into â€˜Mad Men' character for IPO|MarketWatch|2012-05-04|794|Facebook|Technology|1|6|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
738|Facebook IPO: Investors should wait; Commentary: Some red flags merit attention and scrutiny|MarketWatch|2012-05-10|971|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
739|IPO pipeline clears ahead of Facebook; Few deals expected to price ahead of social network's debut|MarketWatch|2012-05-11|595|Facebook|Technology|1|6|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
740|Facebook IPO date uncertain: report; Morningstar says investors may be underestimating challenges|MarketWatch|2012-05-11|472|Facebook|Technology|1|6|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
741|Facebook IPO date uncertain: report|MarketWatch|2012-05-12|306|Facebook|Technology|1|7|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
742|Facebook market cap may top $100 billion; Social network hikes IPO price range as Nasdaq debut nears|MarketWatch|2012-05-15|501|Facebook|Technology|1|3|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
743|Facebook's GM loss may weigh on IPO; Commentary: Halting ads puts focus on big issue for investors|MarketWatch|2012-05-15|482|Facebook|Technology|1|3|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
744|Facebook IPO, you're no Google â€” in five big ways; Commentary: This time, it's harder for small investors to win big|MarketWatch|2012-05-16|1156|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
745|Facebook IPO, you're no Google|MarketWatch|2012-05-16|41|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
746|Tech stocks weighed down by chip sector; J.P. Morgan downgrades semi-tool stocks; Facebook ups IPO size|MarketWatch|2012-05-16|637|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
747|Facebook insiders add shares to boost IPO; Early investors, VC firms may see additional $3 billion from debut|MarketWatch|2012-05-16|629|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
748|Betting on Facebook's future; Commentary: Valuing the social media IPO is tough amid frenzy|MarketWatch|2012-05-17|961|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
749|Itau BBA profile rises ahead of Facebook IPO; An executive from Brazilian bank says local M&A is â€˜booming'|MarketWatch|2012-05-17|655|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
750|Why ETFs can't â€˜like' Facebook IPO; Exchange-traded portfolios forced to wait until stock joins indexes|MarketWatch|2012-05-17|910|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
751|H-P gains on layoff reports; techs slip; LinkedIn, Yelp fall ahead of Facebook IPO; Apple loses more ground|MarketWatch|2012-05-17|530|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
752|Salesforce climbs, Facebook prices IPO after hours; Gap shares higher after first-quarter results|MarketWatch|2012-05-17|707|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
753|Facebook launches biggest tech IPO on record; Shares fetch $38 price in $16 billion sale; trading begins Friday|MarketWatch|2012-05-17|1004|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
754|Facebook prices IPO at $38 per share|MarketWatch|2012-05-17|283|Facebook|Technology|1|5|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
755|Take this Facebook IPO and shove it; Commentary: This is a lot like other IPOs â€” except for the hype|MarketWatch|2012-05-18|928|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
756|Facebook is already history; Commentary: IPO ranks among the biggest, most heralded|MarketWatch|2012-05-18|332|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
757|With Facebook IPO sputtering, tech stocks stumble; Yahoo, Salesforce gains fail to offset sinking Nasdaq by market close|MarketWatch|2012-05-18|536|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
758|Beyond the hoodie: Zuckerberg post-IPO; Facebook chief executive must now answer to Wall Street|MarketWatch|2012-05-18|1158|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
759|Facebook's IPO: success or failure? Commentary: Debut sputters, but Zuckerberg may not care|MarketWatch|2012-05-18|953|Facebook|Technology|2|6|1|0.0|0.07692307692307693|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
760|Facebook IPO: Perfect, in a strict sense; Commentary: We should have expected perfection|MarketWatch|2012-05-18|872|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
761|Facebook IPO fails to â€˜pop' in rough debut; Social network hurt by harsh market selloff, technical problems|MarketWatch|2012-05-18|1192|Facebook|Technology|2|6|1|0.0|0.05882352941176471|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
762|Facebook IPO's rocky open to get SEC review|MarketWatch|2012-05-18|451|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
763|Facebook IPO loses steam at the end|MarketWatch|2012-05-18|292|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
764|Facebook's IPO, European worries in focus; FRIDAY MORNING'S TOP STORIES|MarketWatch|2012-05-18|287|Facebook|Technology|2|6|1|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
765|Facebook IPO fails to â€˜pop' in rough debut|MarketWatch|2012-05-19|270|Facebook|Technology|2|7|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
766|Four reasons the Facebook IPO fizzled; Commentary: This quartet of factors prevented a â€˜pop'|MarketWatch|2012-05-21|551|Facebook|Technology|2|2|1|0.0|0.0|FB|34.03|36.66|33.0|36.66|168309831.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
767|Facebook slumps below IPO price; Social network slides in second day of trading after lackluster debut|MarketWatch|2012-05-21|560|Facebook|Technology|2|2|1|0.0|0.0|FB|34.03|36.66|33.0|36.66|168309831.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
768|Four reasons the Facebook IPO fizzled|MarketWatch|2012-05-21|228|Facebook|Technology|2|2|1|0.0|0.0|FB|34.03|36.66|33.0|36.66|168309831.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
769|The great Facebook fizzle; Commentary: This IPO was a short, sharp stock for the small investor|MarketWatch|2012-05-23|831|Facebook|Technology|2|4|1|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
770|IPO stands for â€˜it's probably overpriced'; One big lesson from Facebook: Don't buy new stocks|MarketWatch|2012-05-23|1071|Facebook|Technology|2|4|1|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
771|Facebook order canceled? Not so fast; Delays, glitches marring IPO lead to retail-investor headaches|MarketWatch|2012-05-23|1265|Facebook|Technology|2|4|1|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
772|Case of the missing Facebook shares; Commentary: Upside down IPO the latest Wall Street debacle|MarketWatch|2012-05-24|742|Facebook|Technology|2|5|1|0.0|0.0|FB|33.03|33.21|31.77|32.98|50275879.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
773|Facebook fiasco may close tech IPO door; Commentary: Market sours after long recovery from dot-com mess|MarketWatch|2012-05-24|861|Facebook|Technology|2|5|1|0.0|0.0|FB|33.03|33.21|31.77|32.98|50275879.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
